"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
"        Biological scientists, all other",19-1029,Line item,66.8,70.6,0.0,0.0,3.8,5.6,1.4,5.4,"91,100",Bachelor's degree,None,None,—
      Conservation scientists and foresters,19-1030,Summary,41.4,43.3,0.0,0.0,1.9,4.6,4.0,3.9,"68,300",—,—,—,—
        Conservation scientists,19-1031,Line item,25.9,27.4,0.0,0.0,1.4,5.6,4.1,2.5,"68,750",Bachelor's degree,None,None,OOH Content
        Foresters,19-1032,Line item,15.4,15.9,0.0,0.0,0.5,3.0,3.8,1.4,"67,330",Bachelor's degree,None,None,OOH Content
      Medical scientists,19-1040,Summary,157.6,176.5,0.1,0.1,18.9,12.0,0.9,9.7,"99,980",—,—,—,—
        Epidemiologists,19-1041,Line item,11.0,13.1,0.0,0.0,2.1,18.8,—,0.8,"81,390",Master's degree,None,None,OOH Content
"        Medical scientists, except epidemiologists",19-1042,Line item,146.6,163.4,0.1,0.1,16.8,11.5,0.9,8.9,"100,890",Doctoral or professional degree,None,None,OOH Content
"      Life scientists, all other",19-1099,Line item,8.0,8.5,0.0,0.0,0.5,6.5,0.8,0.4,"86,950",Bachelor's degree,None,None,—
    Physical scientists,19-2000,Summary,280.9,299.2,0.2,0.2,18.2,6.5,3.6,23.8,"89,350",—,—,—,—
      Astronomers and physicists,19-2010,Summary,23.5,25.2,0.0,0.0,1.7,7.2,6.9,1.6,"149,530",—,—,—,—
        Astronomers,19-2011,Line item,2.4,2.6,0.0,0.0,0.2,7.4,6.2,0.2,"127,930",Doctoral or professional degree,None,None,OOH Content
        Physicists,19-2012,Line item,21.1,22.6,0.0,0.0,1.5,7.2,7.0,1.4,"155,680",Doctoral or professional degree,None,None,OOH Content
      Atmospheric and space scientists,19-2021,Line item,9.9,10.5,0.0,0.0,0.6,5.6,—,0.9,"92,860",Bachelor's degree,None,None,OOH Content
      Chemists and materials scientists,19-2030,Summary,96.4,103.9,0.1,0.1,7.5,7.7,—,7.8,"87,180",—,—,—,—
        Chemists,19-2031,Line item,87.2,93.8,0.1,0.1,6.6,7.6,—,7.1,"84,680",Bachelor's degree,None,None,OOH Content
        Materials scientists,19-2032,Line item,9.2,10.0,0.0,0.0,0.8,8.7,—,0.8,"106,160",Bachelor's degree,None,None,OOH Content
      Environmental scientists and geoscientists,19-2040,Summary,117.1,124.8,0.1,0.1,7.7,6.6,—,11.1,"81,360",—,—,—,—
"        Environmental scientists and specialists, including health",19-2041,Line item,84.6,90.7,0.1,0.1,6.1,7.3,—,8.5,"78,980",Bachelor's degree,None,None,OOH Content
"        Geoscientists, except hydrologists and geographers",19-2042,Line item,26.0,27.4,0.0,0.0,1.4,5.5,—,2.2,"92,580",Bachelor's degree,None,None,OOH Content
        Hydrologists,19-2043,Line item,6.5,6.7,0.0,0.0,0.2,2.8,—,0.5,"88,770",Bachelor's degree,None,None,OOH Content
"      Physical scientists, all other",19-2099,Line item,34.1,34.9,0.0,0.0,0.8,2.3,24.7,2.3,"112,280",Bachelor's degree,None,None,—
    Social scientists and related workers,19-3000,Summary,342.3,361.8,0.2,0.2,19.5,5.7,16.9,24.0,"89,440",—,—,—,—
      Economists,19-3011,Line item,17.5,18.4,0.0,0.0,0.9,5.1,0.4,1.0,"115,730",Master's degree,None,None,OOH Content
      Survey researchers,19-3022,Line item,9.7,9.7,0.0,0.0,0.0,-0.2,5.8,0.8,"60,960",Master's degree,None,None,OOH Content
      Psychologists,19-3030,Summary,207.5,221.6,0.1,0.1,14.0,6.8,26.4,13.0,"92,740",—,—,—,—
        Industrial-organizational psychologists,19-3032,Line item,8.6,9.1,0.0,0.0,0.5,5.8,87.6,0.6,"147,420",Master's degree,None,Internship/residency,OOH Content
        Clinical and counseling psychologists,19-3033,Line item,76.8,87.0,0.0,0.0,10.2,13.3,4.3,5.1,"96,100",Doctoral or professional degree,None,Internship/residency,OOH Content
        School psychologists,19-3034,Line item,65.5,66.0,0.0,0.0,0.5,0.7,4.3,3.6,"84,940",Master's degree,None,Internship/residency,OOH Content
"        Psychologists, all other",19-3039,Line item,56.6,59.4,0.0,0.0,2.9,5.0,72.5,3.8,"117,750",Master's degree,None,Internship/residency,OOH Content
      Sociologists,19-3041,Line item,3.3,3.6,0.0,0.0,0.2,6.9,3.9,0.3,"101,770",Master's degree,None,None,OOH Content
      Urban and regional planners,19-3051,Line item,45.2,47.1,0.0,0.0,2.0,4.3,2.1,3.6,"81,800",Master's degree,None,None,OOH Content
      Miscellaneous social scientists and related workers,19-3090,Summary,59.1,61.5,0.0,0.0,2.4,4.1,2.4,5.3,"91,210",—,—,—,—
        Anthropologists and archeologists,19-3091,Line item,8.7,9.3,0.0,0.0,0.7,7.8,5.0,0.8,"63,800",Master's degree,None,None,OOH Content
        Geographers,19-3092,Line item,1.6,1.7,0.0,0.0,0.0,2.5,—,0.1,"90,880",Bachelor's degree,None,None,OOH Content
        Historians,19-3093,Line item,3.4,3.6,0.0,0.0,0.2,5.7,2.8,0.3,"72,890",Master's degree,None,None,OOH Content
        Political scientists,19-3094,Line item,6.2,6.3,0.0,0.0,0.2,2.6,1.7,0.5,"132,350",Master's degree,None,None,OOH Content
"        Social scientists and related workers, all other",19-3099,Line item,39.2,40.6,0.0,0.0,1.3,3.4,2.0,3.5,"95,890",Bachelor's degree,None,None,—
"    Life, physical, and social science technicians",19-4000,Summary,408.5,432.8,0.2,0.2,24.3,6.0,2.1,53.4,"53,700",—,—,—,—
      Agricultural and food science technicians,19-4010,Summary,44.7,47.7,0.0,0.0,3.0,6.7,6.3,6.9,"47,010",—,—,—,—
        Agricultural technicians,19-4012,Line item,19.6,20.8,0.0,0.0,1.2,5.9,5.8,3.0,"43,180",Associate's degree,None,Moderate-term on-the-job training,OOH Content
        Food science technicians,19-4013,Line item,25.1,26.9,0.0,0.0,1.8,7.3,6.7,3.9,"49,090",Associate's degree,None,Moderate-term on-the-job training,OOH Content
      Biological technicians,19-4021,Line item,83.1,88.6,0.0,0.1,5.5,6.6,—,10.3,"51,430",Bachelor's degree,None,None,OOH Content
      Chemical technicians,19-4031,Line item,58.3,61.4,0.0,0.0,3.2,5.5,0.9,7.3,"56,750",Associate's degree,None,Moderate-term on-the-job training,OOH Content
      Environmental science and geoscience technicians,19-4040,Summary,46.2,49.0,0.0,0.0,2.8,6.0,—,5.5,"51,220",—,—,—,—
"        Environmental science and protection technicians, including health",19-4042,Line item,33.9,36.2,0.0,0.0,2.4,7.0,—,4.1,"50,660",Associate's degree,None,None,OOH Content
"        Geological technicians, except hydrologic technicians",19-4043,Line item,9.2,9.5,0.0,0.0,0.3,3.8,—,1.1,"52,440",Associate's degree,None,Moderate-term on-the-job training,OOH Content
        Hydrologic technicians,19-4044,Line item,3.2,3.3,0.0,0.0,0.1,2.4,—,0.4,"55,890",Associate's degree,None,Moderate-term on-the-job training,OOH Content
      Nuclear technicians,19-4051,Line item,5.4,5.1,0.0,0.0,-0.3,-6.2,—,0.5,"101,740",Associate's degree,None,Moderate-term on-the-job training,OOH Content
      Social science research assistants,19-4061,Line item,37.5,39.9,0.0,0.0,2.4,6.3,4.0,5.0,"56,400",Bachelor's degree,None,None,—
      Forest and conservation technicians,19-4071,Line item,31.3,31.8,0.0,0.0,0.5,1.7,0.6,4.0,"51,880",Associate's degree,None,None,—
"      Miscellaneous life, physical, and social science technicians",19-4090,Summary,101.9,109.3,0.1,0.1,7.4,7.2,3.6,13.8,"59,800",—,—,—,—
        Forensic science technicians,19-4092,Line item,18.6,21.2,0.0,0.0,2.5,13.6,0.7,2.7,"64,940",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"        Life, physical, and social science technicians, all other",19-4099,Line item,83.3,88.2,0.0,0.1,4.8,5.8,4.3,11.1,"58,350",Associate's degree,None,None,—
    Occupational health and safety specialists and technicians,19-5000,Summary,153.5,175.5,0.1,0.1,21.9,14.3,0.2,18.2,"77,580",—,—,—,—
      Occupational health and safety specialists,19-5011,Line item,125.9,144.7,0.1,0.1,18.8,14.9,0.2,15.1,"81,140",Bachelor's degree,None,None,OOH Content
      Occupational health and safety technicians,19-5012,Line item,27.6,30.8,0.0,0.0,3.2,11.4,0.2,3.2,"57,920",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
  Community and social service occupations,21-0000,Summary,"3,044.7","3,291.7",1.8,1.9,247.0,8.1,3.8,299.4,"52,000",—,—,—,—
"    Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,544.8","2,780.0",1.5,1.6,235.2,9.2,3.8,249.3,"51,970",—,—,—,—
      Counselors,21-1010,Summary,"1,040.0","1,164.1",0.6,0.7,124.1,11.9,7.7,100.9,"56,470",—,—,—,—
"        Educational, guidance, and career counselors and advisors",21-1012,Line item,360.8,377.0,0.2,0.2,16.2,4.5,0.6,29.1,"61,710",Master's degree,None,None,OOH Content
        Marriage and family therapists,21-1013,Line item,76.0,88.2,0.0,0.1,12.3,16.2,14.1,7.5,"58,510",Master's degree,None,Internship/residency,OOH Content
        Rehabilitation counselors,21-1015,Line item,87.6,89.2,0.1,0.1,1.6,1.8,—,8.0,"44,040",Master's degree,None,None,OOH Content
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,449.8,534.3,0.3,0.3,84.5,18.8,8.5,48.9,"53,710",Master's degree,None,Internship/residency,OOH Content
"        Counselors, all other",21-1019,Line item,65.9,75.4,0.0,0.0,9.5,14.4,43.9,7.4,"46,130",Master's degree,None,None,—
      Social workers,21-1020,Summary,751.9,806.6,0.4,0.5,54.7,7.3,1.7,67.3,"58,380",—,—,—,—
"        Child, family, and school social workers",21-1021,Line item,365.9,383.8,0.2,0.2,17.9,4.9,—,31.4,"53,940",Bachelor's degree,None,None,OOH Content
        Healthcare social workers,21-1022,Line item,193.2,211.9,0.1,0.1,18.7,9.7,0.4,18.8,"62,940",Master's degree,None,Internship/residency,OOH Content
        Mental health and substance abuse social workers,21-1023,Line item,123.7,138.1,0.1,0.1,14.4,11.6,4.3,11.1,"55,960",Master's degree,None,Internship/residency,OOH Content
"        Social workers, all other",21-1029,Line item,69.0,72.8,0.0,0.0,3.8,5.5,10.2,6.1,"63,770",Bachelor's degree,None,None,OOH Content
      Miscellaneous community and social service specialists,21-1090,Summary,752.9,809.3,0.4,0.5,56.4,7.5,0.5,81.1,"46,250",—,—,—,—
        Health education specialists,21-1091,Line item,62.1,66.4,0.0,0.0,4.3,7.0,0.8,6.7,"62,860",Bachelor's degree,None,None,OOH Content
        Probation officers and correctional treatment specialists,21-1092,Line item,90.7,94.0,0.1,0.1,3.2,3.6,—,7.4,"61,800",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
        Social and human service assistants,21-1093,Line item,433.0,467.4,0.3,0.3,34.4,7.9,0.5,48.4,"41,410",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
        Community health workers,21-1094,Line item,63.4,71.7,0.0,0.0,8.3,13.1,0.9,7.5,"48,200",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"        Community and social service specialists, all other",21-1099,Line item,103.6,109.8,0.1,0.1,6.1,5.9,0.7,11.1,"49,690",Bachelor's degree,None,None,—
    Religious workers,21-2000,Summary,499.9,511.7,0.3,0.3,11.9,2.4,3.5,50.1,"54,180",—,—,—,—
      Clergy,21-2011,Line item,260.1,266.7,0.2,0.2,6.5,2.5,6.0,23.4,"58,920",Bachelor's degree,None,Moderate-term on-the-job training,—
"      Directors, religious activities and education",21-2021,Line item,155.9,159.4,0.1,0.1,3.5,2.2,0.1,15.4,"50,140",Bachelor's degree,Less than 5 years,None,—
"      Religious workers, all other",21-2099,Line item,83.8,85.7,0.0,0.0,1.9,2.2,2.2,11.3,"37,960",Bachelor's degree,None,None,—
  Legal occupations,23-0000,Summary,"1,394.4","1,446.2",0.8,0.8,51.8,3.7,9.0,85.6,"99,220",—,—,—,—
"    Lawyers, judges, and related workers",23-1000,Summary,924.5,971.0,0.6,0.6,46.5,5.0,12.4,38.6,"140,320",—,—,—,—
      Lawyers and judicial law clerks,23-1010,Summary,874.6,919.4,0.5,0.5,44.8,5.1,13.1,36.6,"142,440",—,—,—,—
        Lawyers,23-1011,Line item,859.0,903.3,0.5,0.5,44.2,5.2,13.3,35.6,"145,760",Doctoral or professional degree,None,None,OOH Content
        Judicial law clerks,23-1012,Line item,15.6,16.1,0.0,0.0,0.5,3.4,—,1.0,"57,490",Doctoral or professional degree,None,None,—
"      Judges, magistrates, and other judicial workers",23-1020,Summary,49.9,51.6,0.0,0.0,1.7,3.4,1.5,2.0,"120,140",—,—,—,—
"        Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.8,16.1,0.0,0.0,0.3,2.1,—,0.6,"111,090",Doctoral or professional degree,5 years or more,Short-term on-the-job training,OOH Content
"        Arbitrators, mediators, and conciliators",23-1022,Line item,8.2,8.7,0.0,0.0,0.5,6.1,9.4,0.3,"71,540",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content
"        Judges, magistrate judges, and magistrates",23-1023,Line item,25.9,26.8,0.0,0.0,0.9,3.4,—,1.0,"148,910",Doctoral or professional degree,5 years or more,Short-term on-the-job training,OOH Content
    Legal support workers,23-2000,Summary,469.9,475.2,0.3,0.3,5.3,1.1,2.3,47.0,"60,690",—,—,—,—
      Paralegals and legal assistants,23-2011,Line item,366.2,370.5,0.2,0.2,4.3,1.2,1.8,37.3,"60,970",Associate's degree,None,None,OOH Content
      Miscellaneous legal support workers,23-2090,Summary,103.7,104.7,0.1,0.1,1.0,1.0,3.8,9.7,"59,380",—,—,—,—
"        Title examiners, abstractors, and searchers",23-2093,Line item,56.3,56.9,0.0,0.0,0.6,1.0,4.3,5.1,"53,550",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Legal support workers, all other",23-2099,Line item,47.3,47.8,0.0,0.0,0.5,1.0,3.2,4.6,"67,700",Associate's degree,None,None,—
  Educational instruction and library occupations,25-0000,Summary,"9,579.9","9,731.2",5.7,5.6,151.3,1.6,1.7,868.0,"59,940",—,—,—,—
    Postsecondary teachers,25-1000,Summary,"1,721.9","1,839.9",1.0,1.1,117.9,6.8,0.3,143.9,"82,270",—,—,—,—
"      Business teachers, postsecondary",25-1011,Line item,104.9,111.9,0.1,0.1,7.0,6.7,0.3,8.7,"97,130",Doctoral or professional degree,None,None,OOH Content
"      Math and computer science teachers, postsecondary",25-1020,Summary,103.5,108.2,0.1,0.1,4.7,4.5,0.2,8.3,"83,300",—,—,—,—
"        Computer science teachers, postsecondary",25-1021,Line item,45.0,47.7,0.0,0.0,2.7,6.1,0.2,3.7,"96,430",Doctoral or professional degree,None,None,OOH Content
"        Mathematical science teachers, postsecondary",25-1022,Line item,58.5,60.4,0.0,0.0,1.9,3.3,0.1,4.6,"81,020",Doctoral or professional degree,None,None,OOH Content
"      Engineering and architecture teachers, postsecondary",25-1030,Summary,59.5,64.3,0.0,0.0,4.8,8.1,0.2,5.1,"106,860",—,—,—,—
"        Architecture teachers, postsecondary",25-1031,Line item,10.7,11.0,0.0,0.0,0.3,3.2,—,0.8,"105,770",Doctoral or professional degree,None,None,OOH Content
"        Engineering teachers, postsecondary",25-1032,Line item,48.8,53.3,0.0,0.0,4.5,9.2,0.2,4.2,"106,910",Doctoral or professional degree,None,None,OOH Content
"      Life sciences teachers, postsecondary",25-1040,Summary,76.0,81.9,0.0,0.0,6.0,7.8,0.2,6.5,"84,260",—,—,—,—
"        Agricultural sciences teachers, postsecondary",25-1041,Line item,9.5,9.9,0.0,0.0,0.5,4.8,—,0.8,"85,260",Doctoral or professional degree,None,None,OOH Content
"        Biological science teachers, postsecondary",25-1042,Line item,64.9,70.3,0.0,0.0,5.4,8.4,0.2,5.6,"83,920",Doctoral or professional degree,None,None,OOH Content
"        Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.6,1.7,0.0,0.0,0.1,5.0,—,0.1,"101,650",Doctoral or professional degree,None,None,OOH Content
"      Physical sciences teachers, postsecondary",25-1050,Summary,66.6,69.0,0.0,0.0,2.4,3.6,0.2,5.3,"94,060",—,—,—,—
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,14.4,15.0,0.0,0.0,0.5,3.8,—,1.1,"100,690",Doctoral or professional degree,None,None,OOH Content
"        Chemistry teachers, postsecondary",25-1052,Line item,25.4,26.2,0.0,0.0,0.9,3.4,0.2,2.0,"85,810",Doctoral or professional degree,None,None,OOH Content
"        Environmental science teachers, postsecondary",25-1053,Line item,9.1,9.4,0.0,0.0,0.4,3.9,—,0.7,"88,410",Doctoral or professional degree,None,None,OOH Content
"        Physics teachers, postsecondary",25-1054,Line item,17.7,18.4,0.0,0.0,0.7,3.7,—,1.4,"98,020",Doctoral or professional degree,None,None,OOH Content
"      Social sciences teachers, postsecondary",25-1060,Summary,149.9,155.8,0.1,0.1,5.9,3.9,0.2,11.9,"84,600",—,—,—,—
"        Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.3,6.5,0.0,0.0,0.2,3.8,—,0.5,"93,650",Doctoral or professional degree,None,None,OOH Content
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,14.7,15.3,0.0,0.0,0.5,3.6,—,1.2,"86,030",Doctoral or professional degree,None,None,OOH Content
"        Economics teachers, postsecondary",25-1063,Line item,15.5,16.0,0.0,0.0,0.5,3.5,—,1.2,"115,300",Doctoral or professional degree,None,None,OOH Content
"        Geography teachers, postsecondary",25-1064,Line item,4.3,4.5,0.0,0.0,0.2,4.3,—,0.3,"85,600",Doctoral or professional degree,None,None,OOH Content
"        Political science teachers, postsecondary",25-1065,Line item,21.7,22.4,0.0,0.0,0.7,3.3,0.3,1.7,"93,810",Doctoral or professional degree,None,None,OOH Content
"        Psychology teachers, postsecondary",25-1066,Line item,51.1,53.6,0.0,0.0,2.6,5.0,0.3,4.1,"82,140",Doctoral or professional degree,None,None,OOH Content
"        Sociology teachers, postsecondary",25-1067,Line item,16.1,16.6,0.0,0.0,0.5,3.4,—,1.3,"82,670",Doctoral or professional degree,None,None,OOH Content
"        Social sciences teachers, postsecondary, all other",25-1069,Line item,20.3,20.8,0.0,0.0,0.6,2.7,—,1.6,"77,750",Doctoral or professional degree,None,None,OOH Content
"      Health teachers, postsecondary",25-1070,Summary,374.1,443.5,0.2,0.3,69.4,18.5,0.3,37.3,"100,950",—,—,—,—
"        Health specialties teachers, postsecondary",25-1071,Line item,284.2,337.5,0.2,0.2,53.3,18.8,0.3,28.4,"105,650",Doctoral or professional degree,Less than 5 years,None,OOH Content
"        Nursing instructors and teachers, postsecondary",25-1072,Line item,89.9,105.9,0.1,0.1,16.1,17.9,0.3,8.9,"80,780",Doctoral or professional degree,Less than 5 years,None,OOH Content
"      Education and library science teachers, postsecondary",25-1080,Summary,82.5,85.3,0.0,0.0,2.7,3.3,0.3,6.5,"74,550",—,—,—,—
"        Education teachers, postsecondary",25-1081,Line item,77.2,79.7,0.0,0.0,2.5,3.3,0.3,6.1,"73,240",Doctoral or professional degree,Less than 5 years,None,OOH Content
"        Library science teachers, postsecondary",25-1082,Line item,5.3,5.5,0.0,0.0,0.2,4.2,—,0.4,"80,310",Doctoral or professional degree,None,None,OOH Content
"      Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,50.2,51.6,0.0,0.0,1.4,2.9,0.3,3.9,"81,770",—,—,—,—
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.1,16.6,0.0,0.0,0.5,2.9,—,1.3,"69,030",Doctoral or professional degree,None,None,OOH Content
